Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
0,235.0,486.0,0.0,25.45,1.64,27.11,-1.66,132.24,440.54,0.904,28.05,0.542,z15
1,224.0,424.0,0.0,29.37,1.62,31.95,-2.58,126.8,572.92,0.865,31.36,0.582,z15
2,299.0,489.0,0.0,41.73,1.73,42.18,-0.45,119.94,1117.62,0.819,44.14,0.538,z12
3,287.0,460.0,0.0,26.22,1.47,28.49,-2.27,131.52,457.9,0.9,28.73,0.56,z15
4,44.0,387.0,0.0,28.34,2.09,29.86,-1.52,123.6,527.34,0.884,30.85,0.692,z15
5,159.0,408.0,1.0,29.38,1.45,31.01,-1.63,127.68,577.26,0.905,31.95,0.604,z15
6,189.0,379.0,0.0,24.46,1.51,26.54,-2.08,130.05,390.62,0.827,26.78,0.604,z15
7,148.0,489.0,0.0,27.27,1.68,30.05,-2.78,129.21,503.47,0.868,30.05,0.588,z15
8,57.0,472.0,0.0,45.59,2.42,47.52,-1.93,113.47,1282.55,0.851,48.05,0.805,z15
9,291.0,473.0,1.0,25.13,1.47,28.34,-3.21,134.95,423.18,0.869,28.04,0.511,z15
10,405.0,479.0,1.0,42.55,1.65,44.43,-1.88,117.73,1187.07,0.817,45.3,0.637,z14
11,439.0,199.0,0.0,27.99,2.18,31.25,-3.26,117.21,507.81,0.912,30.81,0.7,z15
12,124.0,362.0,0.0,41.32,1.95,42.44,-1.12,114.98,1161.02,0.85,43.44,0.615,z12
13,417.0,328.0,0.0,38.66,1.65,38.95,-0.29,121.58,1013.45,0.871,40.85,0.625,z12
14,51.0,356.0,1.0,32.12,1.61,34.1,-1.98,118.01,709.64,0.922,33.73,0.667,z15
15,93.0,398.0,0.0,30.56,1.78,32.72,-2.16,122.46,629.34,0.869,33.03,0.724,z15
16,53.0,409.0,0.0,23.44,1.56,24.7,-1.26,128.24,364.58,0.906,25.77,0.705,z15
17,151.0,472.0,1.0,32.05,1.43,36.33,-4.28,126.59,674.91,0.877,34.2,0.492,z14
18,312.0,341.0,0.0,25.17,1.6,28.09,-2.92,135.64,423.18,0.925,27.95,0.562,z15
19,260.0,359.0,0.0,27.24,1.71,29.87,-2.63,133.1,499.13,0.861,29.98,0.519,z15
20,175.0,384.0,0.0,33.95,1.54,36.07,-2.12,121.59,792.1,0.874,36.38,0.609,z14
21,225.0,455.0,1.0,29.83,1.69,32.45,-2.62,127.15,625.0,0.909,32.61,0.586,z15
22,169.0,344.0,0.0,29.87,1.81,32.94,-3.07,126.39,609.81,0.896,32.64,0.574,z15
23,68.0,393.0,0.0,40.21,1.9,41.18,-0.97,112.9,1139.32,0.867,42.26,0.692,z15
24,148.0,341.0,0.0,49.04,1.39,49.83,-0.79,112.4,1688.37,0.855,50.96,0.491,z13
26,188.0,343.0,0.0,32.94,1.67,35.66,-2.72,121.52,776.91,0.878,35.84,0.719,z15
27,143.0,379.0,0.0,29.74,1.45,32.18,-2.44,125.8,575.09,0.878,31.48,0.692,z15
28,104.0,411.0,0.0,29.61,1.7,32.32,-2.71,126.72,605.47,0.89,32.54,0.607,z15
29,34.0,359.0,0.0,34.57,1.81,36.37,-1.8,113.64,822.48,0.879,36.34,0.636,z15
30,92.0,421.0,0.0,29.61,1.29,31.95,-2.34,126.29,609.81,0.896,32.2,0.643,z15
31,126.0,492.0,0.0,34.46,1.87,36.37,-1.91,121.13,828.99,0.867,37.29,0.712,z15
32,55.0,375.0,0.0,37.82,2.2,39.04,-1.22,113.41,1000.43,0.896,40.07,0.771,z14
33,295.0,440.0,0.0,39.69,1.75,40.99,-1.3,121.26,1002.6,0.845,42.42,0.444,z15
34,138.0,413.0,0.0,26.89,1.51,29.61,-2.72,134.02,475.26,0.879,29.47,0.5,z15
35,165.0,466.0,0.0,27.8,1.74,29.61,-1.81,128.54,525.17,0.87,30.33,0.698,z15
36,365.0,458.0,1.0,60.99,2.06,62.58,-1.59,113.99,2408.85,0.788,63.66,0.573,z13
37,366.0,433.0,1.0,24.31,1.94,25.7,-1.39,133.94,379.77,0.87,27.16,0.609,z15
38,243.0,320.0,0.0,43.94,0.52,43.94,0.0,120.7,1260.85,0.833,76.06,0.833,z11
39,449.0,468.0,0.0,42.79,1.84,43.81,-1.02,116.35,1232.64,0.812,45.51,0.561,z12
40,490.0,327.0,0.0,34.96,1.51,37.3,-2.34,122.3,835.5,0.893,37.3,0.545,z14
41,64.0,490.0,6.0,30.97,1.34,31.73,-0.76,142.78,494.79,0.776,33.66,0.648,z03
42,445.0,352.0,1.0,45.71,1.79,47.22,-1.51,121.01,1358.51,0.832,48.46,0.495,z13
43,397.0,372.0,0.0,31.0,1.66,32.43,-1.43,125.51,592.45,0.839,33.66,0.379,z15
44,324.0,354.0,0.0,41.04,1.57,42.21,-1.17,120.38,1156.68,0.847,43.37,0.56,z14
45,413.0,457.0,1.0,30.23,1.74,31.88,-1.65,126.79,603.3,0.864,33.11,0.574,z15
46,325.0,463.0,0.0,40.25,1.46,41.2,-0.95,119.52,1041.67,0.83,41.95,0.592,z13
47,88.0,334.0,1.0,32.71,-16.35,40.59,-7.88,117.8,692.27,0.856,0.0,0.0,z11
48,493.0,456.0,1.0,29.1,1.66,32.71,-3.61,127.77,568.58,0.892,31.88,0.537,z15
49,407.0,363.0,1.0,24.17,1.63,26.68,-2.51,135.91,381.94,0.847,26.84,0.522,z15
50,444.0,373.0,1.0,32.69,2.08,34.3,-1.61,125.15,707.47,0.897,35.5,0.583,z14
51,478.0,387.0,1.0,32.18,1.46,34.77,-2.59,128.57,707.47,0.897,35.03,0.508,z14
52,375.0,333.0,1.0,42.2,1.11,43.38,-1.18,118.08,1163.19,0.868,44.27,0.644,z15
53,433.0,335.0,0.0,32.34,1.58,34.78,-2.44,125.26,694.44,0.88,34.92,0.567,z15
54,451.0,333.0,0.0,31.67,1.65,34.67,-3.0,126.92,640.19,0.861,34.09,0.526,z15
55,432.0,365.0,0.0,27.09,2.69,30.05,-2.96,105.88,486.11,0.889,29.83,0.923,z15
56,160.0,378.0,0.0,29.14,1.95,31.38,-2.24,121.43,564.24,0.885,31.36,0.722,z15
57,236.0,499.0,1.0,26.4,1.63,28.4,-2.0,130.1,468.75,0.857,28.96,0.615,z15
59,136.0,480.0,0.0,27.86,1.96,30.17,-2.31,126.86,518.66,0.884,30.37,0.63,z15
60,386.0,389.0,1.0,30.13,1.22,32.01,-1.88,127.22,614.15,0.87,32.45,0.431,z15
62,303.0,402.0,0.0,37.6,1.96,38.56,-0.96,121.45,911.46,0.884,40.32,0.537,z15
64,486.0,426.0,0.0,25.82,1.73,28.86,-3.04,132.71,449.22,0.922,28.62,0.521,z15
65,115.0,348.0,0.0,26.44,1.48,27.61,-1.17,126.81,444.88,0.874,29.1,0.667,z12
66,474.0,124.0,5.83,25.43,2.24,39.53,-14.1,114.4,410.16,0.88,28.34,0.717,z00
67,31.0,79.0,0.0,51.45,2.11,53.27,-1.82,111.19,1892.36,0.902,54.33,0.74,z15
68,481.0,471.0,0.0,42.75,2.42,42.99,-0.24,117.75,1230.47,0.847,45.69,0.537,z12
69,483.0,345.0,0.0,35.2,1.73,36.45,-1.25,123.39,805.12,0.861,37.87,0.606,z13
70,233.0,388.0,0.0,33.98,1.67,35.95,-1.97,124.43,794.27,0.897,36.49,0.547,z15
71,243.0,430.0,0.0,50.03,1.88,50.71,-0.68,114.39,1783.85,0.896,52.43,0.72,z09
72,31.0,441.0,0.0,40.24,1.69,42.74,-2.5,115.8,1106.77,0.848,42.64,0.645,z15
73,272.0,348.0,0.0,32.61,1.67,35.01,-2.4,127.15,742.19,0.909,35.26,0.59,z14
75,34.0,411.0,0.0,49.81,2.0,49.93,-0.12,110.67,1655.82,0.844,52.11,0.67,z12
76,204.0,453.0,1.0,35.84,1.82,39.06,-3.22,122.74,911.46,0.884,38.69,0.667,z15
77,166.0,424.0,0.0,37.89,2.04,39.19,-1.3,120.65,1026.48,0.919,40.62,0.722,z14
78,185.0,466.0,0.0,54.96,2.12,56.1,-1.14,113.0,2107.2,0.828,57.64,0.657,z15
79,226.0,327.0,0.0,28.58,1.54,31.24,-2.66,130.76,559.9,0.878,31.25,0.5,z15
80,304.0,462.0,0.0,42.38,1.92,43.44,-1.06,118.85,1273.87,0.909,45.12,0.613,z14
81,297.0,383.0,0.0,46.54,1.95,47.33,-0.79,117.33,1462.67,0.837,49.24,0.614,z12
82,265.0,330.0,0.0,44.72,2.15,44.98,-0.26,120.41,1295.57,0.86,47.63,0.595,z13
83,289.0,417.0,0.0,43.01,1.66,43.6,-0.59,119.08,1250.0,0.854,44.99,0.585,z15
84,177.0,361.0,0.0,46.12,1.58,46.82,-0.7,114.08,1482.2,0.863,48.15,0.625,z12
85,246.0,451.0,0.0,38.4,1.89,39.42,-1.02,121.58,1017.8,0.911,41.15,0.722,z13
86,66.0,436.0,1.0,38.42,1.81,40.61,-2.19,119.67,983.07,0.87,40.81,0.586,z15
87,268.0,449.0,0.0,32.65,1.76,35.06,-2.41,127.59,720.49,0.913,35.48,0.567,z14
88,250.0,387.0,1.0,33.58,1.56,37.04,-3.46,125.69,766.06,0.886,35.75,0.547,z14
89,183.0,421.0,0.0,29.26,1.58,31.81,-2.55,129.39,588.11,0.912,31.97,0.589,z15
90,89.0,452.0,0.0,44.83,1.54,46.2,-1.37,115.02,1388.89,0.822,47.33,0.667,z15
91,452.0,497.0,1.41,31.25,2.0,32.94,-1.69,121.68,629.34,0.826,34.05,0.586,z15
92,65.0,340.0,0.0,51.76,1.73,52.36,-0.6,111.96,1833.77,0.861,53.66,0.615,z15
93,219.0,344.0,0.0,45.66,1.59,49.09,-3.43,116.19,1519.1,0.899,48.14,0.797,z14
94,224.0,368.0,0.0,54.84,0.46,56.6,-1.76,112.34,2174.48,0.883,55.77,0.674,z12
95,183.0,441.0,1.0,48.77,1.95,50.39,-1.62,115.45,1705.73,0.903,51.45,0.62,z15
96,244.0,346.0,0.0,56.75,2.07,60.71,-3.96,113.78,2282.99,0.885,59.37,0.638,z09
97,303.0,356.0,0.0,40.85,1.81,41.65,-0.8,119.55,1210.94,0.88,43.7,0.688,z14
98,36.0,322.0,0.0,48.33,1.8,49.82,-1.49,108.81,1662.33,0.861,49.96,0.638,z13
99,213.0,476.0,0.0,67.03,2.14,68.72,-1.69,110.6,3187.93,0.867,69.71,0.633,z09
100,246.0,406.0,0.0,46.09,2.29,49.04,-2.95,115.45,1519.1,0.899,48.89,0.779,z14
101,64.0,312.0,0.0,62.12,1.9,62.92,-0.8,108.09,2838.54,0.89,64.09,0.55,z13
102,276.0,397.0,0.0,55.47,2.07,56.63,-1.16,112.23,2202.69,0.882,57.79,0.606,z12
103,283.0,364.0,0.0,44.35,2.04,45.76,-1.41,116.31,1397.57,0.898,47.09,0.762,z15
104,145.0,430.0,1.0,46.59,1.76,47.29,-0.7,116.23,1542.97,0.898,49.4,0.881,z14
105,141.0,454.0,0.0,51.04,0.84,53.37,-2.33,115.73,1751.3,0.83,52.71,0.833,z11
106,13.0,465.0,0.0,42.26,2.01,43.28,-1.02,111.95,1263.02,0.918,44.73,0.7,z13
107,204.0,388.0,0.0,42.9,2.04,43.23,-0.33,117.49,1256.51,0.874,45.11,0.728,z13
108,247.0,369.0,0.0,37.19,1.85,40.54,-3.35,123.44,952.69,0.905,40.09,0.574,z13
109,105.0,467.0,1.0,36.92,1.69,38.57,-1.65,119.36,952.69,0.853,39.53,0.611,z15
110,124.0,468.0,0.0,38.75,1.83,40.64,-1.89,119.06,1061.2,0.912,41.06,0.704,z15
111,206.0,432.0,0.0,46.94,1.79,47.6,-0.66,115.87,1497.4,0.783,49.75,0.531,z13
112,166.0,486.0,1.0,51.39,1.95,53.12,-1.73,113.32,1855.47,0.843,53.12,0.598,z14
113,105.0,433.0,1.0,37.56,1.87,41.51,-3.95,119.2,950.52,0.834,40.23,0.653,z14
114,225.0,405.0,0.0,37.34,1.52,38.31,-0.97,122.58,915.8,0.889,39.71,0.485,z14
115,247.0,474.0,1.0,35.6,1.56,37.07,-1.47,123.8,876.74,0.888,38.04,0.582,z15
116,50.0,446.0,0.0,36.29,1.8,40.05,-3.76,118.82,907.12,0.88,38.75,0.676,z15
117,193.0,319.0,0.0,48.17,1.89,49.83,-1.66,115.56,1631.94,0.845,51.0,0.641,z14
118,312.0,420.0,0.0,43.98,2.17,44.97,-0.99,116.55,1306.42,0.87,46.59,0.756,z13
119,301.0,331.0,0.0,37.12,2.1,37.91,-0.79,124.14,857.2,0.79,40.05,0.515,z15
120,50.0,425.0,0.0,33.19,1.67,38.75,-5.56,122.44,766.06,0.916,36.04,0.581,z15
121,83.0,472.0,0.0,61.31,2.22,61.7,-0.39,108.39,1751.3,0.775,63.74,0.853,z13
122,265.0,376.0,1.0,40.1,1.97,41.84,-1.74,120.14,1119.79,0.868,42.92,0.627,z15
123,126.0,383.0,0.0,42.57,1.94,46.31,-3.74,114.71,1254.34,0.827,44.81,0.622,z08
124,283.0,323.0,1.0,30.11,1.47,32.94,-2.83,129.14,611.98,0.876,32.54,0.589,z15
125,288.0,346.0,0.0,29.83,1.53,32.19,-2.36,127.88,625.0,0.909,32.61,0.561,z15
126,20.0,338.0,0.0,33.33,1.74,35.97,-2.64,117.68,770.4,0.891,35.75,0.629,z15
127,252.0,491.0,1.0,33.73,1.95,36.47,-2.74,125.73,757.38,0.905,36.52,0.629,z15
128,84.0,434.0,0.0,27.33,1.93,29.24,-1.91,130.19,490.45,0.881,30.2,0.62,z15
129,314.0,478.0,0.0,34.12,1.61,35.42,-1.3,124.63,785.59,0.917,36.49,0.574,z15
130,126.0,425.0,0.0,36.1,1.66,37.89,-1.79,122.31,865.89,0.858,38.75,0.588,z15
131,154.0,319.0,1.0,41.14,1.77,42.24,-1.1,119.81,1158.85,0.923,43.86,0.566,z13
132,262.0,419.0,0.0,35.67,1.76,38.16,-2.49,121.99,833.33,0.844,38.31,0.463,z15
133,172.0,327.0,0.0,36.49,1.51,38.34,-1.85,122.32,924.48,0.87,39.21,0.5,z14
134,201.0,368.0,1.0,38.95,1.45,40.35,-1.4,118.47,1061.2,0.887,40.85,0.676,z15
135,260.0,463.0,0.0,31.02,1.67,33.86,-2.84,129.4,661.89,0.891,33.95,0.603,z15
136,36.0,461.0,0.0,43.8,1.88,44.87,-1.07,112.29,1299.91,0.894,45.7,0.65,z14
137,190.0,404.0,0.0,40.4,2.12,41.59,-1.19,118.12,1156.68,0.904,42.99,0.697,z13
138,108.0,450.0,0.0,29.83,1.38,32.13,-2.3,127.65,603.3,0.911,32.05,0.536,z15
139,144.0,397.0,0.0,42.37,1.29,44.99,-2.62,116.85,1269.53,0.906,44.95,0.875,z12
140,123.0,404.0,0.0,40.04,1.97,41.2,-1.16,117.98,1108.94,0.901,42.87,0.711,z14
141,123.0,443.0,0.0,34.28,1.62,36.47,-2.19,123.84,783.42,0.865,36.45,0.556,z14
142,419.0,368.0,0.0,23.75,1.62,25.74,-1.99,134.64,366.75,0.84,26.68,0.478,z15
143,67.0,414.0,0.0,35.07,2.16,36.61,-1.54,118.96,837.67,0.876,37.27,0.646,z15
144,69.0,455.0,1.0,37.35,1.56,39.32,-1.97,120.75,885.42,0.859,39.7,0.515,z15
145,21.0,393.0,1.0,39.21,2.18,40.52,-1.31,113.77,1015.62,0.856,41.47,0.8,z14
146,162.0,444.0,0.0,39.39,1.38,40.89,-1.5,119.36,1080.73,0.91,41.67,0.597,z15
147,225.0,440.0,0.0,30.05,1.31,32.26,-2.21,127.82,622.83,0.882,32.13,0.534,z15
148,172.0,400.0,0.0,29.08,1.32,31.37,-2.29,130.08,581.6,0.912,31.58,0.5,z15
149,203.0,335.0,1.0,27.5,1.52,31.26,-3.76,132.59,525.17,0.906,30.33,0.52,z15
150,371.0,262.0,1.0,35.61,1.36,36.92,-1.31,122.44,792.1,0.82,37.71,0.5,z15
151,327.0,308.0,0.0,31.41,1.68,34.32,-2.91,126.44,659.72,0.879,34.04,0.559,z15
152,323.0,249.0,0.0,25.69,1.64,28.34,-2.65,135.27,425.35,0.862,28.12,0.52,z15
153,350.0,197.0,0.0,31.57,1.63,33.71,-2.14,127.97,679.25,0.882,34.34,0.517,z14
154,475.0,222.0,0.0,37.13,1.74,44.19,-7.06,122.6,935.33,0.899,39.87,0.643,z14
155,339.0,149.0,0.0,33.19,1.75,34.92,-1.73,126.52,759.55,0.887,36.02,0.629,z15
156,336.0,241.0,0.0,29.83,1.48,31.67,-1.84,129.26,607.64,0.883,32.34,0.534,z15
157,487.0,97.0,1.0,46.82,1.22,47.51,-0.69,119.39,1384.55,0.89,48.56,0.571,z15
158,361.0,77.0,0.0,40.09,1.92,41.18,-1.09,119.61,1091.58,0.877,43.01,0.716,z14
159,463.0,206.0,1.41,39.11,1.46,41.17,-2.06,121.88,1026.48,0.893,41.66,0.689,z15
160,418.0,294.0,1.0,34.9,1.05,38.25,-3.35,124.8,800.78,0.884,36.99,0.453,z15
161,369.0,311.0,1.0,37.27,1.83,38.73,-1.46,121.39,920.14,0.893,39.78,0.529,z15
162,477.0,299.0,1.0,38.28,2.01,39.53,-1.25,122.41,996.09,0.918,41.12,0.614,z14
163,440.0,60.0,0.0,43.32,1.95,45.41,-2.09,114.95,1308.59,0.9,46.03,0.688,z15
164,389.0,269.0,0.0,31.01,1.68,33.11,-2.1,126.66,611.98,0.845,33.7,0.4,z15
165,329.0,227.0,0.0,25.73,1.24,29.64,-3.91,134.25,449.22,0.922,27.95,0.521,z15
166,373.0,245.0,1.0,27.95,1.68,30.17,-2.22,131.25,533.85,0.921,30.76,0.5,z15
167,323.0,284.0,1.0,30.33,1.82,32.19,-1.86,128.21,614.15,0.903,33.19,0.554,z14
168,481.0,201.0,1.0,32.94,1.91,37.27,-4.33,113.0,798.61,0.902,35.84,0.828,z15
169,451.0,84.0,0.0,47.82,1.43,50.17,-2.35,122.63,1438.8,0.829,50.27,0.476,z14
170,389.0,310.0,1.0,34.36,1.41,36.92,-2.56,123.85,763.89,0.835,36.8,0.53,z14
171,488.0,165.0,8.54,31.12,1.62,34.69,-3.57,118.77,607.64,0.87,33.93,0.661,z00
172,418.0,70.0,0.0,53.47,2.14,53.47,0.0,116.62,1924.91,0.877,56.39,0.606,z11
173,429.0,167.0,0.0,26.44,1.32,28.63,-2.19,134.66,466.58,0.917,29.08,0.52,z15
174,460.0,288.0,0.0,39.42,1.55,41.28,-1.86,122.17,1067.71,0.899,42.26,0.514,z15
175,398.0,111.0,0.0,34.02,1.72,35.75,-1.73,123.09,811.63,0.917,36.77,0.641,z14
176,467.0,104.0,0.0,43.56,1.79,45.85,-2.29,120.69,1267.36,0.865,46.2,0.598,z13
177,457.0,228.0,0.0,38.58,1.56,41.09,-2.51,123.24,1024.31,0.898,41.42,0.556,z15
178,365.0,281.0,0.0,40.63,1.73,41.51,-0.88,119.93,1063.37,0.794,43.5,0.571,z15
179,322.0,146.0,0.0,34.63,1.6,36.21,-1.58,126.97,818.14,0.903,37.34,0.532,z13
180,358.0,106.0,1.0,40.69,1.91,43.54,-2.85,121.22,1043.84,0.816,43.49,0.553,z15
181,368.0,232.0,0.0,24.41,1.65,26.89,-2.48,132.85,401.48,0.919,27.11,0.587,z15
182,378.0,120.0,0.0,54.66,2.32,55.39,-0.73,115.57,1896.7,0.802,57.34,0.646,z13
183,438.0,19.0,0.0,43.47,1.94,44.01,-0.54,118.65,1278.21,0.857,46.26,0.671,z12
184,479.0,279.0,1.0,41.82,1.15,43.54,-1.72,120.71,1200.09,0.903,44.04,0.526,z15
185,344.0,228.0,0.0,30.1,1.31,33.59,-3.49,130.15,620.66,0.889,32.68,0.5,z15
186,470.0,259.0,1.0,47.0,1.96,49.62,-2.62,119.14,1464.84,0.882,49.77,0.557,z15
187,356.0,55.0,0.0,32.9,1.45,35.6,-2.7,127.06,724.83,0.919,35.45,0.433,z15
188,342.0,182.0,0.0,31.36,1.57,33.61,-2.25,128.92,659.72,0.911,33.83,0.552,z15
189,445.0,173.0,0.0,37.56,1.45,39.14,-1.58,123.53,937.5,0.883,40.45,0.514,z13
190,425.0,51.0,1.0,26.88,1.41,29.81,-2.93,126.87,499.13,0.912,29.27,0.549,z15
191,414.0,109.0,1.41,27.66,1.69,31.25,-3.59,121.11,520.83,0.898,30.51,0.615,z15
192,366.0,391.0,1.0,41.01,1.49,42.9,-1.89,119.27,1171.88,0.875,43.4,0.645,z14
193,461.0,304.0,0.0,23.29,1.69,24.66,-1.37,131.92,368.92,0.916,26.1,0.636,z15
194,502.0,136.0,0.0,30.05,2.29,30.05,0.0,117.43,577.26,0.905,32.94,0.667,z11
195,433.0,305.0,0.0,28.95,1.56,30.9,-1.95,132.1,549.05,0.885,31.8,0.519,z14
196,428.0,94.0,1.0,52.58,2.0,54.33,-1.75,116.33,1877.17,0.863,55.47,0.612,z15
199,477.0,145.0,1.0,38.35,1.79,39.31,-0.96,125.45,948.35,0.874,41.13,0.557,z14
200,412.0,223.0,0.0,25.17,1.54,27.8,-2.63,131.81,438.37,0.929,27.56,0.583,z15
201,458.0,244.0,0.0,27.36,2.31,31.73,-4.37,110.15,481.77,0.918,30.13,0.76,z15
202,488.0,128.0,0.0,31.01,1.88,33.08,-2.07,123.38,629.34,0.901,33.95,0.536,z13
203,353.0,405.0,0.0,34.93,1.67,38.75,-3.82,123.84,846.35,0.885,37.7,0.585,z15
204,491.0,310.0,0.0,31.15,1.25,32.94,-1.79,124.67,666.23,0.91,33.32,0.483,z15
205,437.0,40.0,1.41,39.61,1.52,44.39,-4.78,114.3,1037.33,0.85,42.1,0.581,z13
207,396.0,220.0,0.0,41.42,2.03,43.04,-1.62,119.01,1063.37,0.773,43.59,0.5,z15
208,384.0,166.0,0.0,27.18,1.65,29.87,-2.69,131.16,488.28,0.904,30.05,0.52,z15
209,380.0,424.0,0.0,43.38,1.97,45.24,-1.86,118.35,1267.36,0.888,46.16,0.613,z13
210,325.0,87.0,0.0,35.45,1.07,36.44,-0.99,123.72,831.16,0.889,37.56,0.545,z13
211,456.0,141.0,0.0,47.0,1.76,48.81,-1.81,120.36,1484.38,0.879,49.73,0.609,z15
212,430.0,461.0,0.0,36.38,2.05,38.98,-2.6,120.34,915.8,0.889,39.03,0.676,z15
213,289.0,117.0,0.0,27.7,1.34,29.61,-1.91,129.94,518.66,0.884,30.37,0.574,z13
214,472.0,239.0,1.41,31.36,1.93,35.45,-4.09,118.58,661.89,0.891,34.2,0.707,z03
215,419.0,310.0,0.0,30.33,1.45,35.07,-4.74,126.29,614.15,0.87,32.94,0.569,z15
216,459.0,45.0,0.0,48.24,1.37,50.4,-2.16,117.4,1627.6,0.882,50.78,0.678,z14
217,378.0,46.0,1.0,33.6,1.17,34.98,-1.38,127.75,759.55,0.887,35.93,0.5,z15
218,435.0,127.0,0.0,56.67,1.6,56.89,-0.22,116.35,1892.36,0.784,58.59,0.426,z13
219,400.0,300.0,0.0,25.17,1.73,27.16,-1.99,130.29,434.03,0.919,27.95,0.553,z14
220,334.0,295.0,1.0,26.1,1.58,27.39,-1.29,132.56,451.39,0.898,28.94,0.521,z15
221,351.0,433.0,0.0,32.94,1.46,35.48,-2.54,124.29,763.89,0.892,35.62,0.548,z14
222,472.0,85.0,1.0,35.48,2.05,36.26,-0.78,101.01,776.91,0.838,37.1,0.78,z14
223,372.0,91.0,0.0,28.94,1.43,33.95,-5.01,128.97,551.22,0.899,31.8,0.5,z15
224,493.0,33.0,0.0,23.75,2.14,26.72,-2.97,118.54,362.41,0.87,26.68,0.727,z15
225,315.0,372.0,0.0,37.16,1.67,38.58,-1.42,121.69,941.84,0.887,39.95,0.471,z14
